video_id,trial_id,trial_week,trial_rep,camera_num,video_total,tank_id,crab_dens,prey_in,prey_eaten,metadat_id,crab_id
1.1.1,1.1.2.5,1,1,1,147.64,1-BD,2,5,4,25.1,25
1.1.1,1.1.3.20,1,1,1,147.64,1-BI,3,20,3,9.1,9
1.1.1,1.1.3.20,1,1,1,147.64,1-BI,3,20,3,2.1,2
1.1.1,1.1.2.5,1,1,1,147.64,1-BD,2,5,4,28.1,28
1.1.1,1.1.3.20,1,1,1,147.64,1-BI,3,20,3,10.1,10
1.2.1,1.2.3.20,1,2,1,147.41,1-BD,3,20,12,10.2,10
1.2.1,1.2.3.20,1,2,1,147.41,1-BD,3,20,12,9.2,9
1.2.1,1.2.3.20,1,2,1,147.41,1-BD,3,20,12,2.2,2
1.2.1,1.2.2.5,1,2,1,147.41,1-BI,2,5,3,28.2,28
1.2.1,1.2.2.5,1,2,1,147.41,1-BI,2,5,3,25.2,25
2.1.1,2.1.3.10,2,1,1,115.25,1-BI,3,10,4,32.1,32
2.1.1,2.1.3.10,2,1,1,115.25,1-BI,3,10,4,18.1,18
2.1.1,2.1.1.2,2,1,1,115.25,1-BD,1,2,0,38.1,38
2.1.1,2.1.3.10,2,1,1,115.25,1-BI,3,10,4,33.1,33
2.2.1,2.2.3.10,2,2,1,129.43,1-BD,3,10,7,32.2,32
2.2.1,2.2.3.10,2,2,1,129.43,1-BD,3,10,7,18.2,18
2.2.1,2.2.3.10,2,2,1,129.43,1-BD,3,10,7,33.2,33
2.2.1,2.2.1.2,2,2,1,129.43,1-BI,1,2,2,38.2,38
3.1.1,3.1.2.10,3,1,1,146.5666667,1-BD,2,10,0,62.1,62
3.1.1,3.1.2.10,3,1,1,146.5666667,1-BD,2,10,0,72.1,72
3.1.1,3.1.1.10,3,1,1,146.5666667,1-BI,1,10,1,70.1,70
1.1.2,1.1.2.20,1,1,2,146.9166667,2-BI,2,20,0,27.1,27
1.1.2,1.1.2.20,1,1,2,146.9166667,2-BI,2,20,0,26.1,26
1.1.2,1.1.1.20,1,1,2,146.9166667,2-BD,1,20,3,19.1,19
1.2.2,1.2.1.20,1,2,2,140.68,2-BI,1,20,2,19.2,19
1.2.2,1.2.2.20,1,2,2,140.68,2-BD,2,20,4,26.2,26
1.2.2,1.2.2.20,1,2,2,140.68,2-BD,2,20,4,27.2,27
2.1.2,2.1.2.20,2,1,2,118.87,2-BI,2,20,10,42.1,42
2.1.2,2.1.2.20,2,1,2,118.87,2-BI,2,20,10,36.1,36
2.1.2,2.1.2.5,2,1,2,118.87,2-BD,2,5,3,30.1,30
2.1.2,2.1.2.5,2,1,2,118.87,2-BD,2,5,3,17.2.1,17
2.2.2,2.2.2.20,2,2,2,130.58,2-BD,2,20,5,42.2,42
2.2.2,2.2.2.20,2,2,2,130.58,2-BD,2,20,5,36.2,36
2.2.2,2.2.2.5,2,2,2,130.58,2-BI,2,5,5,30.2,30
2.2.2,2.2.2.5,2,2,2,130.58,2-BI,2,5,5,17.2.2,17
3.1.2,3.1.2.20,3,1,2,148.5166667,2-BI,2,20,13,65.1,65
3.1.2,3.1.2.20,3,1,2,148.5166667,2-BI,2,20,13,66.1,66
3.1.2,3.1.3.10,3,1,2,148.5166667,2-BD,3,10,10,64.1,64
3.1.2,3.1.3.10,3,1,2,148.5166667,2-BD,3,10,10,68.1,68
3.1.2,3.1.3.10,3,1,2,148.5166667,2-BD,3,10,10,67.1,67
3.2.2,3.2.3.10,3,2,2,52.4,2-BI,3,10,7,64.2,64
3.2.2,3.2.3.10,3,2,2,52.4,2-BI,3,10,7,67.2,67
3.2.2,3.2.3.10,3,2,2,52.4,2-BI,3,10,7,68.2,68
3.2.2,3.2.2.20,3,2,2,52.4,2-BD,2,20,9,65.2,65
3.2.2,3.2.2.20,3,2,2,52.4,2-BD,2,20,9,66.2,66
1.1.3,1.1.3.5,1,1,3,145.99,3-BI,3,5,5,6.1,6
1.1.3,1.1.1.5,1,1,3,145.99,3-BD,1,5,5,17.1.1,17
1.1.3,1.1.3.5,1,1,3,145.99,3-BI,3,5,5,20.1,20
1.1.3,1.1.3.5,1,1,3,145.99,3-BI,3,5,5,5.1,5
1.2.3,1.2.1.5,1,2,3,146.34,3-BI,1,5,5,17.1.2,17
1.2.3,1.2.3.5,1,2,3,146.34,3-BD,3,5,5,5.2,5
1.2.3,1.2.3.5,1,2,3,146.34,3-BD,3,5,5,6.2,6
1.2.3,1.2.3.5,1,2,3,146.34,3-BD,3,5,5,20.2,20
2.2.3,2.2.1.20,2,2,3,129.7,3-BI,1,20,6,41.2,41
2.2.3,2.2.3.2,2,2,3,129.7,3-BD,3,2,2,49.2,49
2.2.3,2.2.3.2,2,2,3,129.7,3-BD,3,2,2,35.2,35
2.2.3,2.2.3.2,2,2,3,129.7,3-BD,3,2,2,45.2,45
3.1.3,3.1.1.2,3,1,3,152.93,3-BI,1,2,2,76.2,76
3.1.3,3.1.2.2,3,1,3,152.93,3-BD,2,2,2,73.2,73
3.1.3,3.1.2.2,3,1,3,152.93,3-BD,2,2,2,69.1,69
3.2.3,3.2.1.2,3,2,3,51.48,3-BD,1,2,2,76.2,76
3.2.3,3.2.2.2,3,2,3,51.48,3-BI,2,2,2,73.2,73
3.2.3,3.2.2.2,3,2,3,51.48,3-BI,2,2,2,69.2,69
1.1.4,1.1.2.10,1,1,4,141.74,4-BI,2,10,3,7.1,7
1.1.4,1.1.2.10,1,1,4,141.74,4-BI,2,10,3,12.1,12
1.1.4,1.1.1.2,1,1,4,141.74,4-BD,1,2,1,15.1,15
1.2.4,1.2.2.10,1,2,4,141.8166667,4-BD,2,10,7,7.2,7
1.2.4,1.2.2.10,1,2,4,141.8166667,4-BD,2,10,7,12.2,12
1.2.4,1.2.1.2,1,2,4,141.8166667,4-BI,1,2,2,15.2,15
3.2.4,3.2.2.5,3,2,4,174.14,7-BD,2,5,4,78.2,78
3.2.4,3.2.2.5,3,2,4,174.14,7-BD,2,5,4,79.2,79
1.2.5,1.2.3.10,1,2,5,107.05,8-BI,3,10,2,1.2,1
1.2.5,1.2.3.10,1,2,5,107.05,8-BI,3,10,2,11.2,11
1.2.5,1.2.1.10,1,2,5,107.05,8-BD,1,10,0,8.2,8
1.2.5,1.2.3.10,1,2,5,107.05,8-BI,3,10,2,21.2,21
2.2.5,2.2.3.5,2,2,5,104.2666667,8-BD,3,5,5,15.2,15
2.2.5,2.2.3.5,2,2,5,104.2666667,8-BD,3,5,5,43.2,43
2.2.5,2.2.3.5,2,2,5,104.2666667,8-BD,3,5,5,29.2,29
2.2.5,2.2.2.10,2,2,5,104.2666667,8-BI,2,10,10,48.2,48
2.2.5,2.2.2.10,2,2,5,104.2666667,8-BI,2,10,10,50.2,50
3.1.5,3.1.1.20,3,1,5,137.5666667,8-BD,1,20,14,74.1,74
3.1.5,3.1.3.2,3,1,5,137.5666667,8-BI,3,2,2,75.1,75
3.1.5,3.1.3.2,3,1,5,137.5666667,8-BI,3,2,2,63.1,63
3.1.5,3.1.3.2,3,1,5,137.5666667,8-BI,3,2,2,61.1,61
3.2.5,3.2.3.2,3,2,5,93.31,8-BD,3,2,2,61.2,61
3.2.5,3.2.3.2,3,2,5,93.31,8-BD,3,2,2,75.2,75
3.2.5,3.2.3.2,3,2,5,93.31,8-BD,3,2,2,63.2,63
3.2.5,3.2.1.20,3,2,5,93.31,8-BI,1,20,13,74.2,74
1.1.6,1.1.1.2,1,1,6,144.18,10-BI,1,2,2,13.1,13
1.1.6,1.1.3.2,1,1,6,144.18,10-BD,3,2,2,3.1,3
1.1.6,1.1.3.2,1,1,6,144.18,10-BD,3,2,2,4.1,4
1.1.6,1.1.3.2,1,1,6,144.18,10-BD,3,2,2,23.1,23
1.2.6,1.2.3.2,1,2,6,145.68,10-BI,3,2,2,3.2,3
1.2.6,1.2.3.2,1,2,6,145.68,10-BI,3,2,2,4.2,4
1.2.6,1.2.3.2,1,2,6,145.68,10-BI,3,2,2,23.2,23
1.2.6,1.2.2.2,1,2,6,145.68,10-BD,2,2,2,13.2,13
1.2.6,1.2.2.2,1,2,6,145.68,10-BD,2,2,2,14.2,14
2.1.6,2.1.1.5,2,1,6,118,10-BI,1,5,0,44.1,44
2.1.6,2.1.2.2,2,1,6,118,10-BD,2,2,2,40.1,40
2.1.6,2.1.2.2,2,1,6,118,10-BD,2,2,2,52.1,52
2.2.6,2.2.2.2,2,2,6,132.23,10-BI,2,2,2,52.2,52
2.2.6,2.2.2.2,2,2,6,132.23,10-BI,2,2,2,40.2,40
2.2.6,2.2.1.5,2,2,6,132.23,10-BD,1,5,5,44.2,44
3.1.6,3.1.3.20,3,1,6,139.69,10-BD,3,20,18,77.1,77
3.1.6,3.1.3.20,3,1,6,139.69,10-BD,3,20,18,71.1,71
3.1.6,3.1.3.20,3,1,6,139.69,10-BD,3,20,18,60.1,60
3.2.6,3.2.1.5,3,2,6,175.26,10-BD,1,5,3,80.2,80
3.2.6,3.2.3.20,3,2,6,175.26,10-BI,3,20,12,77.2,77
3.2.6,3.2.3.20,3,2,6,175.26,10-BI,3,20,12,71.2,71
3.2.6,3.2.3.20,3,2,6,175.26,10-BI,3,20,12,60.2,60